"plot","year","hfi.native","hfi.exotic","hfi.woody","hfi.herbaceous","x","y","terrace","dem.altitude","fenced","oversown"
"Molesworth12",2001,235,259,1,494,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",2006,172,567,1,739,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",2016,122,413,1,535,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth13",1989,225,110,1,335,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",1995,444,148,1,592,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2001,344,264,1,608,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2006,270,673,1,943,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2016,69,337,1,406,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth14",1989,183,12,64,131,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",1995,209,20,78,151,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2001,179,27,81,125,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2006,211,40,85,166,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2016,102,15,41,76,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth15",1995,288,25,7,306,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2001,129,163,7,285,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2006,57,190,12,235,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2016,142,26,3,165,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth2",1989,164,35,79,120,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",1995,162,41,62,141,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2001,150,49,80,119,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2006,96,48,51,93,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2016,81,22,41,62,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth3",1989,147,74,1,221,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
"Molesworth3",1995,133,34,1,167,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
"Molesworth3",2001,180,93,1,273,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
"Molesworth3",2006,168,61,2,227,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
"Molesworth3",2016,56,170,1,226,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
"Molesworth4",1989,441,76,3,514,1593825.22220646,5335117.66452468,"Terrace",1016,"fenced","natural"
"Molesworth4",1995,554,132,7,679,1593825.22220646,5335117.66452468,"Terrace",1016,"fenced","natural"
"Molesworth4",2001,536,79,10,605,1593825.22220646,5335117.66452468,"Terrace",1016,"fenced","natural"
"Molesworth4",2006,514,102,4,612,1593825.22220646,5335117.66452468,"Terrace",1016,"fenced","natural"
"Molesworth4",2016,394,84,4,474,1593825.22220646,5335117.66452468,"Terrace",1016,"fenced","natural"
"Molesworth5",1989,156,48,26,178,1594305.19500919,5336156.24663732,"Terrace",1046,"fenced","natural"
"Molesworth5",1995,167,44,31,180,1594305.19500919,5336156.24663732,"Terrace",1046,"fenced","natural"
"Molesworth5",2001,146,48,39,155,1594305.19500919,5336156.24663732,"Terrace",1046,"fenced","natural"
"Molesworth5",2006,150,48,44,154,1594305.19500919,5336156.24663732,"Terrace",1046,"fenced","natural"
"Molesworth5",2016,120,23,42,101,1594305.19500919,5336156.24663732,"Terrace",1046,"fenced","natural"
"Molesworth6",1989,130,77,32,175,1593301.37771447,5334939.79427889,"Terrace",1010,"fenced","natural"
"Molesworth6",1995,120,68,35,153,1593301.37771447,5334939.79427889,"Terrace",1010,"fenced","natural"
"Molesworth6",2001,124,60,40,144,1593301.37771447,5334939.79427889,"Terrace",1010,"fenced","natural"
"Molesworth6",2006,89,55,29,115,1593301.37771447,5334939.79427889,"Terrace",1010,"fenced","natural"
"Molesworth6",2016,150,66,36,180,1593301.37771447,5334939.79427889,"Terrace",1010,"fenced","natural"
"Molesworth7",1989,134,135,1,269,1593206.35565531,5334525.94817623,"Terrace",1012,"unfenced","natural"
"Molesworth7",1995,152,169,1,321,1593206.35565531,5334525.94817623,"Terrace",1012,"unfenced","natural"
"Molesworth7",2001,119,146,1,264,1593206.35565531,5334525.94817623,"Terrace",1012,"unfenced","natural"
"Molesworth7",2006,78,163,1,240,1593206.35565531,5334525.94817623,"Terrace",1012,"unfenced","natural"
"Molesworth7",2016,29,110,1,139,1593206.35565531,5334525.94817623,"Terrace",1012,"unfenced","natural"
"Molesworth8",1989,138,106,4,240,1593352.33080997,5334715.86406459,"Terrace",1011,"fenced","natural"
"Molesworth8",1995,143,119,4,258,1593352.33080997,5334715.86406459,"Terrace",1011,"fenced","natural"
"Molesworth8",2001,116,101,3,214,1593352.33080997,5334715.86406459,"Terrace",1011,"fenced","natural"
"Molesworth8",2006,78,96,4,170,1593352.33080997,5334715.86406459,"Terrace",1011,"fenced","natural"
"Molesworth8",2016,101,114,7,208,1593352.33080997,5334715.86406459,"Terrace",1011,"fenced","natural"
"Molesworth9",1989,148,195,3,340,1580526.68773913,5326950.21199677,"Terrace",1096,"unfenced","natural"
"Molesworth9",1995,207,137,4,340,1580526.68773913,5326950.21199677,"Terrace",1096,"unfenced","natural"
"Molesworth9",2001,215,189,4,400,1580526.68773913,5326950.21199677,"Terrace",1096,"unfenced","natural"
"Molesworth9",2006,251,167,5,413,1580526.68773913,5326950.21199677,"Terrace",1096,"unfenced","natural"
"Molesworth9",2016,94,158,14,238,1580526.68773913,5326950.21199677,"Terrace",1096,"unfenced","natural"
"N1",2007,137,44,69,112,1585129.14943462,5311948.72720872,"Slope",1127,"unfenced","natural"
"N1",2016,290,49,122,217,1585129.14943462,5311948.72720872,"Slope",1127,"unfenced","natural"
