###Quadrat plot data (nested sizes) froma paired fenced and unfenced plots on Molesworth. Plots established in early 2008 by NZ Forest Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity,Browser2Species,Browser2Intensity
PT,1 fenced,KOENOV,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,HYPPER,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,AGRCAP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,
PT,1 fenced,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
PT,1 fenced,HIEMUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 fenced,THELON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 fenced,LEUFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 fenced,HIEPRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 fenced,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 fenced,LUZRUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 unfenced,VEGETATION,2,1,,,,,3,,,,,,4,,,,,,5,,,,,,6,,,,,,5,,,,,,,,,
PT,2 unfenced,MOSS,0,,,,,,0,,,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,LITTER,1,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,,,,
PT,2 unfenced,BARE GROUND,6,,,,,,5,,,,,,5,,,,,,4,,,,,,3,,,,,,4,,,,,,,,,
PT,2 unfenced,ROCK,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,HYPPER,2,1,,,,,2,1,,,,,2,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 unfenced,HIEPIL,2,,,,,,2,,,,,,3,,,,,,5,,,,,,6,,,,,,5,,,,,,,,,
PT,2 unfenced,ECHVUL,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 unfenced,VERVIR,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,TRIARV,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,LINCAT,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,RUMACE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,HIECAE,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,ANTODO,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,VERTHA,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 unfenced,ROSRUB,,,,,,,,,,,,,1,,,,,,1,2,2,,,,1,2,2,,,,1,2,2,,,,cattle,L,hare,L
PT,2 unfenced,ELYAFR,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,TRIPRA,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,GRASS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,DACGLO,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,DIAARM,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,AGRCAP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,HYPRAD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,2 unfenced,MUEAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,hare,L,,
PT,2 unfenced,DICCRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 unfenced,HOLLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 unfenced,GERSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 unfenced,MELALP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,cattle,L,hare,H
PT,2 unfenced,PIMSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 unfenced,FESNOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
PT,2 unfenced,DISTOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
PT,2 unfenced,RAOSUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,2 fenced,VEGETATION,4,,,,,,5,2,2,,,,5,2,2,,,,5,,,,,,5,,,,,,0,,,,,,,,,
PT,2 fenced,MOSS,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,
PT,2 fenced,LITTER,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,
PT,2 fenced,BARE GROUND,5,,,,,,5,,,,,,4,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,
PT,2 fenced,ROCK,2,,,,,,2,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,HIEPIL,3,,,,,,4,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,
PT,2 fenced,ANTODO,2,,,,,,2,,,,,,2,1,,,,,2,1,,,,,3,2,,,,,2,1,,,,,,,,
PT,2 fenced,RUMACE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,ELYAFR,2,,,,,,2,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,,,
PT,2 fenced,DIAARM,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,LINCAT,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,ECHVUL,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,2 fenced,ROSRUB,,,,,,,1,2,2,,,,1,1,1,,,,2,2,2,,,,1,2,2,,,,2,3,3,,,,,,,
PT,2 fenced,HYPPER,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
