#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
F,3,Crimea,03/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1589993,5325409,1440,110,27,Linear,Face,3,Good,CHImac,hare,L,Yes,No cattle this high
F,4,Crimea,03/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1589916,5325240,1366,180,37,Concave,Face,3,Good,CHImac,hare,L,Yes,All pegs found. Too high for cattle
G,1,Mitre,04/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1593495,5325825,1472,360,35,Linear,Face,3,Good,CHIfla,hare,M,Yes,No cattle this high
G,1,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
G,2,Mitre,04/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1593432,5325680,1397,182,34,Linear,Gully,3,Good,CHImac,chamois,L,Yes,No cattle here. Center and B corner peg lost
G,2,,,,,,,,,,,,,,,PILpra,hare,L,Yes,
G,3,Mitre,04/03/16,"Sean, Emi, Betka",,Grazed,1593366,5326633,1291,170,24,Concave,Gully,3.5,Medium,RYTset,hare,L,Yes,"No cattle, all pegs found"
G,3,,,,,,,,,,,,,,,RYTset ,deer,L,Yes,
G,4,Mitre,04/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1593305,5325355,1220,220,33,Convex,Face,2.5,Good,CHImac,hare,L,Yes,No sign of cattle near plot
G,4,,,,,,,,,,,,,,,CHIfla,hare,H,Yes,
H,1,Yarra,31/01/16,"Sean, Emi",Colluvial,Grazed,1597797,5319427,1115,330,32,Linear,Face,2.5,Good,MELalp,hare,M,Yes,Cattle rarely this high on line
H,2,Yarra,31/01/16,"Sean, Emi",Colluvial,Grazed,1597855,5319597,1025,266,24,Linear,Face,3,Good,FESnov,hare,L,Yes,Plot above grazing mgmt fence
H,2,,,,,,,,,,,,,,,POApra,cattle,L,Yes,
H,3,Yarra,31/01/16,"Sean, Emi",Colluvial,Grazed,1597952,5319866,1030,175,22,Linear,Face,2.5,Good,POAcol,hare,L,Yes,Up river of grazing mgmt fence (as are all plots on line H)
H,3,,,,,,,,,,,,,,,POAcol,chamois,L,Yes,
H,3,,,,,,,,,,,,,,,POAcol,cattle,L,Yes,
H,4,Yarra,31/01/16,"Sean, Emi",Colluvial,Grazed,1592020,5320037,1100,220,24,Linear,Face,3,Good,MELalp,hare,M,Yes,Cattle unlikely to graze this high above valley floor
HG,1Fe,Horse Gully,25/03/16,"Sean, Lizzie",Morraine,,1593000,5337478,1004,280,4,Linear,Terrace,3,Good,RYTset,hare,M,Yes,Signs of cattle grazing around plot. Fence in poor condition
HG,1Fe,,,,,,,,,,,,,,,CHIfla,hare,M,Yes,
HG,1Un,Horse Gully,25/03/16,"Sean, Lizzie",Morraine,Grazed,1592955,5337475,1002,250,2,Linear,Terrace,3,Good,RYTset,hare,L,Yes,"A corner peg crushed, Center and D peg up rooted"
HG,1Un,,,,,,,,,,,,,,,RYTset,cattle,L,Yes,
HG,2Fe,Horse Gully,26/03/16,"Sean, Lizzie",Morraine,,1592950,5337601,997,250,5,Linear,Terrace,3,Medium,FESrub,cattle,L,Yes,"Fenced, but cattle have grazed plot"
HG,2Fe,,,,,,,,,,,,,,,RYTset,hare,M,Yes,
HG,2Un,Horse Gully,26/03/16,"Sean, Lizzie",Morraine,Grazed,1592884,5337601,999,200,4,Linear,Terrace,3,Medium,RYTset,cattle,L,Yes,"A corner peg crushed, Center peg up rooted"
HG,2Un,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
HG,2Un,,,,,,,,,,,,,,,FESrub,cattle,L,Yes,
HG,2Un,,,,,,,,,,,,,,,AGRcap,cattle,L,Yes,
HG,3Fe,Horse Gully,25/03/16,"Sean, Lizzie",,Grazed,1593127,5337141,998,180,3,Linear,Terrace,3,Good,RYTset,cattle,M,Yes,"Fenced to exclude grazing, but... D peg up rooted. Cattle have accessed all fenced sites at Horse Gully"
HG,3Fe,,,,,,,,,,,,,,,RYTset,hare,H,,
HG,3Un,Horse Gully,25/03/16,"Sean, Lizzie",Morraine,Grazed,1593119,5337115,997,170,4,Linear,Terrace,3,Good,RYTset,cattle,L,Yes,
HG,3Un,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
HG,3Un,,,,,,,,,,,,,,,RYTpum,hare,L,Yes,
I,1,Cameron Stream,11/02/16,"Sean, Emi, Betka",,Grazed,1604812,5325293,1030,305,28,Linear,Face,3,Good,,,,,
I,2,Cameron Stream,11/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1604893,5325474,1020,230,25,Convex,Face,3,Good,RYTset,cattle,L,Yes,"Photo's show colonisation by briar rose. Big changes. Appears to have dries out. A,B,C,D, pegs uprooted and replaced."
